63,395.2,0,90.5,94,64,77,86,87,79,91,95,failed
68,455,0,68,87,62,69,91,80,72,66.5,75,failed
79.7,480,380.5,71,74,74,75,82,72,80,79.5,85,failed
66,437.5,285,94,90,83,92,87,93,94,96,95,pass
62.2,445,396,44.4,70,62,60,44.5,26,65,83,85,failed
57.2,359.3,0,60,45,63,64,73,64,51,82,75,failed
64.5,436,324,79,71,70,68,83,70,81,80,85,failed
59.4,424,0,77,72,74,77,83,70,69,82,95,failed
73,527,351,67.5,64,32,64,47.5,62,74,79.5,75,failed
66,431,302.5,76.5,72,72,79,85,83,81,80,85,failed
56.4,389.5,0,72.5,88,72,60,62,50,79,85,95,failed
56.4,366.2,0,75,70,75,68,78,67,60,77,75,failed
56.2,434,0,67.5,73,65,60,66,52,74,83,65,failed
64.5,431,337.5,83.5,87,72,77,90,78,81,86.5,95,pass
65.2,425,0,74.5,65,64,60,65,62,69,86,85,failed
64.8,466,381,80.5,71,71,70,77,65,65,76,95,failed
57.4,308.3,0,70,73,67,61,77,66,77,85,95,failed
57,390.8,0,64.5,51,61,52.7,67,25,45.7,71,75,failed
84.5,544,446.3,94.5,91,85,89,94,98,87,96,95,pass
70.7,431,393,64,94,72,60,47.5,61,66,81,75,failed
59.6,357,0,65,72,75,64,65,55,72,94,75,failed
65,371.7,0,66.5,64,60,60,72,50,70,61,75,failed
62,509,330,69.5,63,68,65,72,68,69,62,75,failed
74,435,400,85.5,90,81,77,89,85,86,77,85,failed
71.8,435,294,82.5,88,78,80,92,80,83,88,75,failed
72.5,467,329,80.5,90,75,91,91,92,83,80,95,failed
60.2,415,327,63.5,63,70,61,83,61,65,82,85,failed
53.3,317.5,0,63,53,73,51,35,37,62,83,75,failed
0,0,0,73,69,68,61,29,61,63,78,75,failed
70,433,336,76,90,80,65,73,70,68,85,75,failed
54.2,460,0,48.6,67,62,70,81,66,64,77,75,failed
58.3,315.2,0,62,79,67,71,69,64,64,85,75,failed
65,445,368.7,74,88,69,66,71,53,73,86,75,failed
68.8,431,374.5,89,65,74,70,83,67,85,74,85,failed
78.5,479,474,84.5,86,86,69,85,0,88,95,77,failed
68,355,0,87.5,90,78,82,85,0,90,90,86,pass
74.5,552,410.7,89.5,78,81,78,91,0,78,95,83,failed
78.2,565,538,78.5,81,78,48.5,87,0,59.3,70,74,failed
68.5,392.2,0,83.5,61,77,48.5,82,0,80,80,75,failed
67.5,447,342.3,75.5,70,60,47,75,0,48,65,73,failed
65,375.8,0,82.5,73,66,48,61,0,52,65,70,failed
67,427,0,68.5,35.7,38.5,46,77,0,67,75,62,failed
55,397.5,284,65,75,60,54,82,0,77,80,69,failed
66.5,475,310,69,78,29,50.5,78,0,76,80,70,failed
62.2,415,221,74.5,83,80,56.5,88,0,91,85,77,failed
64.2,452,0,53.8,61,28,40.5,26,0,53.5,65,68,failed
63.6,425.5,362,81.5,74,78,45,66,0,60,75,66,failed
71.5,454.5,386.5,85.5,77,70,47.5,75,0,70,75,74,failed
64,427,305.7,78.5,75,70,50.5,68,0,61,70,65,failed
63,364,0,69.5,76,65,47.5,35,0,60,75,65,failed
67.5,425,427,68,82,35,40,62,0,38.5,65,73,failed
62.8,464,309,62,50,29,45.5,61,0,37,65,60,failed
62,365,0,60,80,11,44.5,17,0,63,70,65,failed
54,338,0,63,60,16,20,0,0,18,75,0,failed
75.7,528,388.7,74.5,53.7,74,52,77,0,52,70,61,failed
70.2,511,401.7,95,86,90,49.5,93,0,92,95,79,failed
72.8,483,379.3,86,75,80,48.5,83,0,84,85,70,failed
69.5,456,366.3,86.5,72,78,48,81,0,86,90,68,failed
62.2,458,0,62,67,38,49.5,28,0,45.5,65,65,failed
50.1,368.5,0,91,61,35,47,60,0,37.3,65,61,failed
55,284.3,0,65,47.3,32,49,60,0,39.5,65,64,failed
65,385,0,75,67,70,51.5,84,0,62,70,80,failed
70.2,429,326,89,78,60,48,86,0,80,90,81,failed
62,421.5,359,68,42.5,45,54,75,0,80,75,73,failed
69,466,430,54.3,53.3,65,48.5,76,0,52.5,75,70,failed
60.8,429,328,74.5,62,40,49,39,0,67,75,60,failed
55.8,385.2,0,70,41.5,26,42,33,0,57,65,62,failed
53,374.7,0,60,33,26,40,8,0,61,70,60,failed
62,436,338,82,74,84,68,88,0,83,80,75,failed
56.7,435,326,44.7,50,30,46.7,86,0,60.5,65,72,failed
65.8,412,0,73.5,60,20,44.5,25,0,40,65,61,failed
55,364,0,28.7,31,13,48.5,7,0,35.5,65,48.5,failed
58.8,354,0,64,47,27.5,48,66,0,61,70,65,failed
56.8,297.3,0,60,61,60,43,12,0,42,65,46.5,failed
64,462,0,78.5,71,28,50,23,0,61,70,64,failed
56,417.5,317,70,32,24,43.5,28,0,49.5,65,63,failed
66.7,457,327.5,80,58.7,74,64,73,78,49.5,65,84,failed
59,401.7,320,66,66,70,62,66,64,67,0,91,failed
80,506,458.5,73,80,68,49.5,82,81,74,85,91,failed
62,379.2,0,84.5,85,77,79,83,86,82,0,92,failed
69,453,346,39,74,72,60,68,61,60,0,69,failed
54.5,347,0,22,34,62,47.7,62,27,26.5,0,67,failed
75.8,486,418.5,68,79,65,75,91,87,56.7,0,88,failed
61,429,293,48.5,75,67,56,73,61,62,0,85,failed
66.8,374,0,73.5,81,80,54,82,69,68,0,84,failed
68.5,474,350.5,64.5,48,73,49.5,72,82,65,0,84,failed
62.7,345.2,0,66,70,56.5,53,65,65,64,0,72,failed
66.2,406.5,0,76,76,77,54,81,80,69,0,84,failed
59.2,396.8,0,69,65,78,47.5,74,74,52,0,85,failed
66,412,249.5,80.5,77,75,48.3,70,80,68,0,86,failed
56.6,356.8,0,56,49.5,64,53,65,78,68,0,78,failed
60.2,414.3,295,69,79,62,66,60,78,66,0,88,failed
59.5,388.7,0,37,71,63,60,60,73,60,0,88,failed
52.3,426,277.5,54.8,64,74,52,36,76,66,0,78,failed
64.5,426,321.7,35.8,67,61,45.5,34.7,78,63,0,79,failed
65,514,0,64,21,0,41.3,0,0,0,0,0,failed
55.8,380,0,38.2,66,64,52,69,85,65,0,79,failed
62,411,330,82,80,71,70,84,82,63,0,90,failed
53.2,412.5,0,24.7,33.5,0,22,0,0,17.5,42,0,failed
54.9,363,0,43,20,10,43.5,41,36,65,0,39,failed
61.5,434.7,349,67.5,80,80,78,81,91,69,0,88,failed
61.5,467,279.5,73,67,70,62,69,65,69,0,74,failed
62.4,460,316.7,77,86,60,66,85,88,67,0,92,failed
49.6,355,0,26.3,42,21,48.5,0,0,60,0,35,failed
63.2,431.3,368,89.5,90,87,65,70,91,70,0,79,failed
62,437.5,327.5,72,83,80,72,79,92,75,0,95,pass
55.5,376,0,65.5,73,65,61,74,81,65,0,76,failed
61.5,432,0,44.3,34.5,62,40,71,75,51,0,76,failed
